loopIteration,timeUs,rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbatLatest,amperageLatest,gyroADC[0],gyroADC[1],gyroADC[2],gyroADCafterRpm[0],gyroADCafterRpm[1],gyroADCafterRpm[2],accSmooth[0],accSmooth[1],accSmooth[2],accADCafterRpm[0],accADCafterRpm[1],accADCafterRpm[2],motor[0],motor[1],motor[2],motor[3],quat[0],quat[1],quat[2],quat[3],alpha[0],alpha[1],alpha[2],quatSp[0],quatSp[1],quatSp[2],quatSp[3],gyroSp[0],gyroSp[1],gyroSp[2],alphaSp[0],alphaSp[1],alphaSp[2],spfSp[0],spfSp[1],spfSp[2],dv[0],dv[1],dv[2],dv[3],dv[4],dv[5],u[0],u[1],u[2],u[3],u[4],u[5],u[6],u[7],u_state[0],u_state[1],u_state[2],u_state[3],u_state[4],u_state[5],u_state[6],u_state[7],omega[0],omega[1],omega[2],omega[3],omega[4],omega[5],omega[6],omega[7],omegaUnfiltered[0],omegaUnfiltered[1],omegaUnfiltered[2],omegaUnfiltered[3],omegaUnfiltered[4],omegaUnfiltered[5],omegaUnfiltered[6],omegaUnfiltered[7],omega_dot[0],omega_dot[1],omega_dot[2],omega_dot[3],omega_dot[4],omega_dot[5],omega_dot[6],omega_dot[7],pos[0],pos[1],pos[2],extTime,extPos[0],extPos[1],extPos[2],posSp[0],posSp[1],posSp[2],vel[0],vel[1],vel[2],extVel[0],extVel[1],extVel[2],velSp[0],velSp[1],velSp[2],accSp[0],accSp[1],accSp[2],extQuat[0],extQuat[1],extQuat[2],extQuat[3],ekf_pos[0],ekf_pos[1],ekf_pos[2],ekf_vel[0],ekf_vel[1],ekf_vel[2],ekf_quat[0],ekf_quat[1],ekf_quat[2],ekf_quat[3],ekf_acc_b[0],ekf_acc_b[1],ekf_acc_b[2],ekf_gyro_b[0],ekf_gyro_b[1],ekf_gyro_b[2],motor_0_rls_x[0],motor_0_rls_x[1],motor_0_rls_x[2],motor_0_rls_x[3],motor_1_rls_x[0],motor_1_rls_x[1],motor_1_rls_x[2],motor_1_rls_x[3],motor_2_rls_x[0],motor_2_rls_x[1],motor_2_rls_x[2],motor_2_rls_x[3],motor_3_rls_x[0],motor_3_rls_x[1],motor_3_rls_x[2],motor_3_rls_x[3],imu_rls_x[0],imu_rls_x[1],imu_rls_x[2],fx_x_rls_x[0],fx_x_rls_x[1],fx_x_rls_x[2],fx_x_rls_x[3],fx_y_rls_x[0],fx_y_rls_x[1],fx_y_rls_x[2],fx_y_rls_x[3],fx_z_rls_x[0],fx_z_rls_x[1],fx_z_rls_x[2],fx_z_rls_x[3],fx_p_rls_x[0],fx_p_rls_x[1],fx_p_rls_x[2],fx_p_rls_x[3],fx_p_rls_x[4],fx_p_rls_x[5],fx_p_rls_x[6],fx_p_rls_x[7],fx_q_rls_x[0],fx_q_rls_x[1],fx_q_rls_x[2],fx_q_rls_x[3],fx_q_rls_x[4],fx_q_rls_x[5],fx_q_rls_x[6],fx_q_rls_x[7],fx_r_rls_x[0],fx_r_rls_x[1],fx_r_rls_x[2],fx_r_rls_x[3],fx_r_rls_x[4],fx_r_rls_x[5],fx_r_rls_x[6],fx_r_rls_x[7],learnerGains[0],learnerGains[1],learnerGains[2],learnerGains[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,timeMs,timeS
0,0,-0.0024,0.0,0.0012,0.0,1523,128,0.003490658498693331,0.0,-0.0017453292493466656,0.006981316997386662,-0.003490658498693331,-0.006981316997386662,-0.1197100830078125,0.16280571289062498,-9.782707983398437,-0.3591302490234375,0.0383072265625,-9.093177905273437,0.0,0.0,0.0,0.0,0.9996308600959763,-0.00824412452319429,-0.005414051925679833,-0.02608588655100283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003490658498693331,0.0,0.0017453292493466656,-0.17453292493466654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,279.0,0.0,0.0,0.0,0.0,271.0,271.0,272.0,281.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-38.043,279.589,7231.729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.41,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,0.0,0.0
4,1987,-0.0024,0.0,0.0012,0.0,1523,128,0.0,-0.003490658498693331,0.0,-0.0017453292493466656,-0.010471975496079993,0.0017453292493466656,-0.1149216796875,0.16280571289062498,-9.782707983398437,-0.6177040283203125,0.1771709228515625,-9.423577734375,0.0,0.0,0.0,0.0,0.9996308600959763,-0.00824412452319429,-0.005414051925679833,-0.02608588655100283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003490658498693331,0.0,0.0017453292493466656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.1,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,279.0,0.0,0.0,0.0,0.0,271.0,272.0,269.0,277.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-38.042,279.588,7231.772,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.41,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,1.987,0.001987
8,3975,-0.0024,0.0,0.0012,0.0,1523,128,0.0017453292493466656,-0.003490658498693331,0.0,0.003490658498693331,-0.01221730474542666,0.003490658498693331,-0.11013327636718749,0.1580173095703125,-9.787496386718749,-0.1292868896484375,0.7613561279296874,-9.117119921875,0.0,0.0,0.0,0.0,0.9996308600959763,-0.00824412452319429,-0.005414051925679833,-0.02608588655100283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003490658498693331,0.0,0.0017453292493466656,-0.17453292493466654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.1,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,279.0,0.0,0.0,0.0,0.0,272.0,272.0,272.0,280.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-38.041,279.587,7231.816,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.41,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,3.975,0.003975
12,5961,-0.0024,0.0,0.0012,0.0,1523,128,0.0,-0.003490658498693331,0.0017453292493466656,-0.0017453292493466656,0.0,0.006981316997386662,-0.11013327636718749,0.1484405029296875,-9.792284790039062,0.4165910888671875,1.0773907470703123,-10.20887587890625,0.0,0.0,0.0,0.0,0.9996308600959763,-0.00824412452319429,-0.005414051925679833,-0.02608588655100283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003490658498693331,0.0,0.0017453292493466656,0.0,0.17453292493466654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.1,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,279.0,0.0,0.0,0.0,0.0,272.0,272.0,269.0,277.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-38.04,279.587,7231.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.41,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,5.961,0.005961
16,7948,-0.0024,0.0,0.0012,0.0,1523,128,0.0,-0.003490658498693331,0.003490658498693331,0.0,0.0,0.01221730474542666,-0.1149216796875,0.13407529296874998,-9.787496386718749,0.9097966308593749,1.1013327636718748,-10.769119067382812,0.0,0.0,0.0,0.0,0.9996308600959763,-0.00824412452319429,-0.005414051925679833,-0.02608588655100283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003490658498693331,0.0,0.0017453292493466656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,279.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,281.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-38.039,279.586,7231.903,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.41,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,7.948,0.007948
20,9935,-0.0024,0.0,0.0012,0.0,1523,128,0.0,-0.0017453292493466656,0.0,0.0017453292493466656,0.003490658498693331,-0.0017453292493466656,-0.1292868896484375,0.11013327636718749,-9.763554370117188,0.47884033203125,0.9097966308593749,-10.524910498046875,0.0,0.0,0.0,0.0,0.9996308600959763,-0.00824412452319429,-0.005414051925679833,-0.02608588655100283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003490658498693331,0.0,0.0017453292493466656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,279.0,0.0,0.0,0.0,0.0,272.0,272.0,272.0,281.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-38.037,279.585,7231.946,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.41,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,9.935,0.009935
24,11922,-0.0024,0.0,0.0012,0.0,1523,128,0.0,0.0,0.0,0.0,0.0017453292493466656,-0.006981316997386662,-0.1292868896484375,0.1197100830078125,-9.749189160156249,-0.411802685546875,-0.4213794921875,-10.151415039062499,0.0,0.0,0.0,0.0,0.9996308600959763,-0.00824412452319429,-0.005414051925679833,-0.02608588655100283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003490658498693331,0.0,0.0017453292493466656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,279.0,0.0,0.0,0.0,0.0,271.0,272.0,271.0,275.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-38.036,279.584,7231.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.41,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,11.922,0.011922
28,13909,-0.0024,0.0,0.0012,0.0,1523,128,0.0,0.0017453292493466656,-0.0017453292493466656,0.006981316997386662,0.0017453292493466656,-0.010471975496079993,-0.12449848632812499,0.12449848632812499,-9.744400756835937,-0.40222587890625,-0.2442085693359375,-9.696516723632811,0.0,0.0,0.0,0.0,0.9996308600959763,-0.00824412452319429,-0.005414051925679833,-0.02608588655100283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.003490658498693331,0.0,0.0017453292493466656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,279.0,0.0,0.0,0.0,0.0,272.0,272.0,271.0,281.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-38.036,279.584,7231.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.41,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,13.909,0.013909
32,15896,-0.0024,0.0,0.0012,0.0,1523,128,0.0,0.003490658498693331,-0.0017453292493466656,0.006981316997386662,0.003490658498693331,-0.008726646246733328,-0.1149216796875,0.1388636962890625,-9.753977563476562,-0.6560112548828124,-0.5985504150390625,-9.390058911132812,0.0,0.0,0.0,0.0,0.9996308600959763,-0.00824412452319429,-0.005414051925679833,-0.02608588655100283,0.0,0.17453292493466654,0.0,1.0,0.0,0.0,0.0,-0.003490658498693331,0.0,0.0017453292493466656,-0.17453292493466654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.1,0.00012304663467454166,0.00012304663467454166,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,279.0,0.0,0.0,0.0,0.0,271.0,272.0,271.0,280.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-38.035,279.583,7232.037,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.41,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,15.896,0.015896
36,17883,-0.0024,0.0,0.0012,0.0,1522,0,0.0017453292493466656,0.0017453292493466656,-0.0017453292493466656,0.003490658498693331,0.005235987748039996,-0.003490658498693331,-0.1005564697265625,0.1580173095703125,-9.758765966796874,-0.7326257080078125,-0.6703764648437499,-9.275137231445312,0.0,0.0,0.0,0.0,0.9996308600959763,-0.00824412452319429,-0.005414051925679833,-0.02608588655100283,0.0,0.17453292493466654,0.0,1.0,0.0,0.0,0.0,-0.003490658498693331,0.0,0.0017453292493466656,-0.17453292493466654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.1,0.00012304663467454166,0.00012304663467454166,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,0.00012304663467454166,0.0,0.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,279.0,0.0,0.0,0.0,0.0,271.0,272.0,272.0,281.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-38.034,279.582,7232.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.41,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,17.883,0.017883
